name,lon,lat,band.1.470,band.2.470,band.1.550,band.2.550
GISS,-73.96,40.798,675,440,675,440
Brookhaven,-72.889,40.87,500,440,675,500
Billerica,-71.269,42.528,675,440,675,440
CCNY,-73.949,40.821,500,440,675,500
Egbert,-79.75,44.226,500,440,675,500
Toronto,-79.47,43.78,500,440,675,500
Thompson_Farm,-70.948,43.109,500,440,675,500
Harvard_Forest,-72.188,42.532,675,440,675,440
LISCO,-73.342,40.955,490,443,555,490
NEON_HarvardForest,-72.19,42.533,500,440,675,500
NEON_Bartlett,-71.287,44.064,500,440,675,500
NEON_Harvard,-72.173,42.537,500,440,675,500
